date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 17:01:11,51a90105,0.898,0.636,Car
01/23/20 17:01:14,51a90105,0.896,0.665,Car
01/23/20 17:01:18,51a90105,0.899,0.679,Car
01/23/20 17:01:21,51a90105,0.891,0.666,Car
01/23/20 17:01:25,51a90105,0.899,0.62,Car
01/23/20 17:01:28,51a90105,0.9,0.609,Car
01/23/20 17:01:32,51a90105,0.899,0.629,Car
01/23/20 17:01:35,51a90105,0.896,0.607,Car
01/23/20 17:01:38,51a90105,0.899,0.603,Car
01/23/20 17:01:42,51a90105,0.888,0.662,Car
01/23/20 17:01:47,51a90105,0.901,0.605,Car
01/23/20 17:01:51,51a90105,0.902,0.596,Car
01/23/20 17:01:54,51a90105,0.9,0.573,Car
01/23/20 17:01:58,51a90105,0.898,0.59,Car
01/23/20 17:02:01,51a90105,0.902,0.586,Car
01/23/20 17:02:05,51a90105,0.896,0.584,Car
01/23/20 17:02:08,51a90105,0.902,0.585,Car
01/23/20 17:02:11,51a90105,0.895,0.673,Car
01/23/20 17:02:16,51a90105,0.901,0.564,Car
01/23/20 17:02:19,51a90105,0.9,0.57,Car
01/23/20 17:02:23,51a90105,0.899,0.584,Car
01/23/20 17:02:26,51a90105,0.898,0.577,Car
01/23/20 17:02:29,51a90105,0.895,0.575,Car
01/23/20 17:02:33,51a90105,0.902,0.593,Car
01/23/20 17:02:36,51a90105,0.899,0.593,Car
01/23/20 17:02:39,51a90105,0.891,0.567,Car
01/23/20 17:02:43,51a90105,0.904,0.586,Car
01/23/20 17:02:46,51a90105,0.9,0.565,Car
01/23/20 17:02:50,51a90105,0.896,0.556,Car
01/23/20 17:02:53,51a90105,0.901,0.581,Car
01/23/20 17:02:56,51a90105,0.901,0.581,Car
01/23/20 17:03:00,51a90105,0.902,0.557,Car
01/23/20 17:03:03,51a90105,0.899,0.548,Car
01/23/20 17:03:06,51a90105,0.902,0.575,Car
date,license_plate,score,dscore,vehicle_type
01/23/20 17:03:12,72c06133,0.907,0.834,Car
01/23/20 17:03:16,72c06133,0.91,0.837,Car
